neighborhood,crimes
Alamo Square,7
Anza Vista,2
Apparel City,4
Aquatic Park / Ft. Mason,3
Ashbury Heights,1
Bayview,29
Bernal Heights,14
Bret Harte,7
Buena Vista,4
Candlestick Point SRA,1
Castro,9
Cathedral Hill,9
Cayuga,13
Central Waterfront,4
Chinatown,11
Civic Center,17
Clarendon Heights,1
Cole Valley,2
Corona Heights,1
Cow Hollow,2
Crocker Amazon,5
Diamond Heights,3
Dogpatch,3
Dolores Heights,9
Downtown / Union Square,40
Duboce Triangle,9
Eureka Valley,3
Excelsior,7
Fairmount,1
Financial District,12
Fishermans Wharf,11
Forest Hill,1
Glen Park,3
Golden Gate Heights,4
Golden Gate Park,12
Haight Ashbury,8
Hayes Valley,14
Holly Park,4
Hunters Point,5
India Basin,3
Ingleside,6
Ingleside Terraces,2
Inner Richmond,15
Inner Sunset,2
Japantown,5
Laguna Honda,6
Lake Street,3
Lakeshore,1
Laurel Heights / Jordan Park,3
Lone Mountain,5
Lower Haight,10
Lower Nob Hill,23
Lower Pacific Heights,4
Marina,7
Merced Heights,3
Merced Manor,1
Mint Hill,2
Mission,90
Mission Bay,4
Mission Dolores,15
Mission Terrace,6
Mt. Davidson Manor,3
Nob Hill,6
Noe Valley,5
North Beach,25
Northern Waterfront,6
Oceanview,6
Outer Mission,4
Outer Richmond,12
Outer Sunset,17
Pacific Heights,8
Panhandle,6
Parkmerced,8
Parkside,11
Parnassus Heights,2
Peralta Heights,2
Polk Gulch,7
Portola,16
Potrero Hill,35
Presidio Heights,1
Presidio Terrace,2
Produce Market,5
Rincon Hill,1
Russian Hill,9
Showplace Square,3
Silver Terrace,14
South Beach,10
South of Market,125
St. Francis Wood,1
St. Marys Park,2
Stonestown,3
Sunnydale,2
Sunnyside,4
Sutro Heights,1
Tenderloin,93
Treasure Island,1
Union Street,10
Upper Market,2
Visitacion Valley,3
Western Addition,22
Westwood Park,1
